amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
40,500,35,35,1.4680172604086827e-06,0.003,0.0006288766860961914
40,500,30,35,1.4768033111733913e-06,0.003,0.0006086444854736328
40,500,25,35,1.6347708158082063e-06,0.003,0.0005523014068603516
40,500,20,35,2.676355261822527e-06,0.003,0.00040958166122436525
40,500,35,30,5.2107773210652295e-06,0.003,0.000520937442779541
40,500,30,30,5.219234363533776e-06,0.003,0.00043053388595581054
40,500,25,30,5.3767593665710045e-06,0.003,0.00043680667877197263
40,500,20,30,6.4149894740106465e-06,0.003,0.000463407039642334
40,500,35,25,7.333679773430246e-06,0.003,0.0004310011863708496
40,500,30,25,7.342972490285149e-06,0.003,0.00042630672454833983
40,500,25,25,7.499852780969984e-06,0.003,0.0005547785758972168
40,500,20,25,8.537127032643976e-06,0.003,0.0005716562271118164
